Name,SD1,SD2,C-1,C-2,C-N-1,C-N-2,N-1,N-2,CS1,CS2,HS1,HS2,OSMO1,OSMO2,OXI1,OXI2,PH1,PH2,UV1,UV2
osmY,3133.915,2574.795,3834.8,2229.385,2305.965,1738.71,2029.515,2555.6,3301.795,2333.375,2435.515,2312.71,2791.95,4236.525,2110.14,2514.42,3448.93,5069.955,2696.945,2118.5
otsA,3885.51,3852.495,2716.275,3453.8,3990.71,4150.265,3748.075,3849.225,3122.18,3867.225,2933.015,3338,3454.815,4415,3170.975,3480.84,3441.01,5315.84,3794.88,3569.67
otsB,4044.95,7408.45,5283.43,4957.47,5975.29,6583.63,4582.34,3666.39,3474.1,6165.25,6639.96,6148.42,5644.06,8979.41,6189.76,5547.33,5871.84,1368.31,4684.91,5631.65
oweE,4925.91,8882.55,4023.15,8841.57,7956.45,7504.87,6906.03,7891.96,4406.59,9083.07,9683.58,7111.96,9013.8,8941.71,7609.45,9165.29,7929.19,6672.53,5197.93,7450.5
oweS,4611.6,2717.55,1963.58,3276.04,2667.77,1428.58,2465.25,2905.85,4160.83,1947.3,1579.75,1882.33,2025.79,2179.44,1445.37,1726.95,2841.15,3132.3,2523.09,2297.32
oxc,4757.67,3947.895,4073.555,3659.475,3693.515,5102.78,3391.045,4401.525,4655.58,3976.33,3547.06,3479.965,3516.49,3375.655,3137.105,3673.695,3675.87,4476.715,4402.395,4424.93
oxyR,3099.96,2954.545,3946.385,3431.04,3214.64,2963.03,3955.415,3924.585,3871.645,2780.83,3695.225,3096.445,3002.75,2780.275,3404.34,3274.67,3420.5,1949.64,3317.92,2793.94
oxyS,1502.51,618.81,2334.57,1026.57,694.23,799.32,771.02,1438.105,1925.55,617.55,564.305,640.5,734.635,911.62,752.84,747.83,870.225,2172.015,1740.025,660.105
paaA,9149.175,9092.91,5490.345,8287.6,8363.895,7911.735,7226.33,7969.95,6166.94,7007.025,7793.29,7757.205,8851.745,8885.175,7280.885,7260.845,8159.285,5176.995,8386.145,6890.15
paaB,6584.73,10195.615,6508.03,8465.565,9293.97,9376.725,10764.265,7264.98,4796.185,10229.89,11375.77,10510.16,9741.74,8511.04,10230.9,9222.81,6653.26,1192.265,6239.995,8875.39
paaC,6706.81,6983.605,5156.35,8241.975,7187.615,8385.225,6847.625,6932.255,5617.83,7182.32,6281.39,7961.01,7974.625,6736.285,7219.39,7527.395,4218.84,2497.27,6143.53,8437.24
paaD,6777.34,9922.18,3591.72,10137.08,10269.49,9852.88,8373.84,11440.15,7180.98,11480.51,9517.13,12411.98,9668.61,8680.25,11150.66,11600.98,7761.47,9011.03,6619.05,11343.41
paaE,6560.555,6753.37,7858.88,6662.93,7522.325,6211.525,7020.73,6405.335,5311.565,5755.78,6278.415,7145.015,5507.49,6756.975,6954.29,5814.45,4716.52,4913.015,5775.46,7120.405
paaF,5102.15,8195.39,4973.05,6731.63,7157.96,8807.9,7548.74,6028.41,5084.08,7957.02,7238.05,7910.98,7471.19,7681.2,7946.43,7491.5,5448.48,2694.25,5571.66,7287.31
paaG,4772.45,7332.415,4585.85,5210.385,6625.445,7410.745,7563.97,4797.175,4567.34,5482.82,6067.035,6882.41,6020.1,5619.88,5586.745,6287.335,5901.695,5580.095,5611.305,6629.295
paaH,3981.9,6526.89,3947.89,5454.16,6081.02,5937.14,6400.64,4720.39,4186.84,5294.57,5900.58,6303.6,6172.83,5510.38,6112.8,5772.38,5462.61,5904.8,4895.07,6629.29
paaI,3093.34,3147.75,5666.02,2840.09,2230.67,2489.18,2683.87,2697.52,2813.44,1907.23,1225.63,2940.47,1885.18,2972.63,1622.37,1921.15,1916.62,3641.69,2633.67,2442.18
paaJ,4611.29,5065.18,3105.75,4028.96,4231.51,4262.45,5312.62,3145,4713.82,4020.22,5289.73,4784.96,4333.46,3588.44,3833.64,4417.42,3842.86,4202.94,3510.9,4862.78
paaK,4125.975,4973.1,5297.175,4958.64,4156.055,3945.995,4589.66,4051.685,4158.59,3726.17,5469.02,4486.13,4190.98,4959.68,4489.285,4274.795,4149.62,4236.52,4727.97,4294.505
paaX,4395.84,6165.63,3999.67,4910.08,6642.25,5868.38,5513.34,4894.58,4424.75,6968.63,8305.86,7789.72,5016.64,4476.78,5146.77,6639.66,4455.43,5671.38,4497.19,7221.97
paaY,4843.33,7726.37,1600.6,6491.99,6642.25,9319.31,6247.72,7558.71,4983.29,8673.69,8859.07,9190.13,7455.74,5310.03,8877.97,8466.85,6068.4,5677.54,6192.34,6972.67
paaZ,6362.545,10162.52,4638.65,8864.885,8774.685,9990.26,8669.665,6341.6,6231.98,8646.39,9653.26,10428.97,9480.59,8816.305,9110.385,8800.595,6977.835,7166.505,6702.13,9534.13
pabA,2226.12,4420.31,1092.24,3189.76,2803.88,4306.01,2578.88,2824.49,2263.82,4110.86,4765.02,4442.18,4039.23,3572.06,3709.42,4115.82,3658.24,1526.91,2574.07,2907.49
pabB,5756.27,7879.15,5804.67,7190.81,6616.13,6199.44,6041.18,6203.33,5753.23,6864.12,7092.12,6748.04,6364.14,6118.38,6196.67,6358.03,5954.93,5996.33,4837.48,6954.43
pabC,6264.815,11685.3,3408.225,11596.145,8602.07,9159.165,11379.545,8892.3,6481.525,6980.835,8491.485,9583.155,8267.29,10849.095,11509.95,9074.19,8131.855,2788.895,7165.19,9339.315
pagP,3413.01,2901.34,3920.28,3219.715,2487.78,2576.5,1916.235,3315.405,3221.355,3075.63,2441.145,2677.295,2625.07,3125.56,2385.27,2355.05,3238.05,3581.805,3570.955,3257.95
pal,2793.84,2604.73,5783.36,3033.25,3268.82,2727.65,2794.73,2122.07,2858.33,2621.03,2710.17,2684.28,3392.18,2775.06,2576.6,2323.09,4879.05,4131.56,3164.98,2727.8
panB,5731.345,3133.15,2886.31,4592.935,5459.24,4153.125,4906.785,5358.865,5858.3,4771.21,3295.045,3211.53,5214.35,5392.455,4422.76,5220.46,5993.705,5588.14,4105.795,5068.09
panC,4507.61,2891.06,3093.88,3605.23,3122.6,3003.82,2613.36,3826.54,5114.77,2731.39,2623.11,2938.17,3183.67,4318.16,3400.28,2492.77,3835.77,4876.65,3954.84,3170.8
panD,1980.39,1790.94,2330.13,2027.19,2119.28,1673.23,1856.94,2491.64,2147.08,1500.4,1328.48,1639.8,1920.49,2269.15,1851.81,1794.11,2580.2,4872.39,2172.14,1578.71
panE,4971.535,4851.185,2793.045,4626.215,3556.945,3749.735,4632.405,3567.225,3738.135,5104.86,3685.895,3156.355,4098.675,3877.53,4904.595,4434.095,4161.425,2539.01,4115.79,5028.15
panF,4051.41,3625.28,3830.73,4989.26,4012.48,3593.26,4319.15,5329.76,4699.25,3471.93,4108.49,3641.06,4134.22,4451.3,4577.63,4009.77,3660.11,4555.33,4244.1,3073.37
paoA,6942.5,5852.29,7309.6,5861.59,7519,6942.93,5675.9,6104.79,5316.56,6493.37,6545.98,8288.43,6456.49,5741.14,7771.27,5790.61,4993.28,6631.08,6465.32,8707.35
paoB,3728.44,3099.63,4926.09,3350.97,3457.62,2799.13,3918.98,3583.42,3458.35,3806.05,4214.5,3608.75,4547.08,3511.05,4260.8,3846.57,2767.41,4586.78,3454.53,3505.62
paoC,4684.91,5316.4,4226.58,4294.31,5068.9,5323.62,5633.34,3942.91,4543.24,5183.41,6048.55,6029.14,6440.19,5453.75,5404.51,6037.73,3497.14,4554.21,5434.22,5067.97
paoD,8892.7,8547.53,5526.6,6937,5624.22,6201.27,7642.27,9432.66,9204.01,6428.31,7068.65,8416.89,7712.32,6829.49,7629.5,7750.41,6952.14,6429.64,9196.42,6874.34
parC,5147.61,3935.58,4720.39,4003.92,3879.54,4099.29,4432.39,4552.87,5337.19,4391.94,4092.64,4711.17,4161.63,4425.43,4372.28,3697.29,3720.81,4925.58,5000.79,4503.5
parE,6079.26,4594.3,1621.41,5296.9,4805.4,4192.38,4896.05,5258.42,6405.87,4762.27,4543.08,4700.11,4955.18,4468.26,4457.79,4217.69,5669.46,3954.24,5150.68,5377.54
patA,4214.1,2223.73,1704.24,3027.08,2127.36,2118.05,2900.14,3235.85,4505.91,1769.33,2039.9,2029.86,2279.46,3051.72,2167.15,1772.74,2623.79,1538.38,3673.62,2491.28
pauD,1985.315,2318.165,5250.015,2348.17,2802.99,1758.52,2049.99,1977,2077.67,3304.27,3203.29,2870.35,2344.51,2247.86,1793.5,3144.005,1810.39,3509.015,1925.155,2840.03
pawZ,2667.18,6294.26,1757.4,3949.33,4167.8,3915.76,3701.81,2963.47,2994.62,5271.57,5660.63,4860.68,5457.9,4205.32,5209.17,6028.58,2990.22,1901.22,2690.57,4180.74
pbl,3453.79,2215.42,1293.01,3356.49,2454.63,2434.84,1639.7,2871.86,3451.39,3153.79,2101.81,2435.85,2656.1,3153.87,2380.59,2429.85,3101.83,5731.27,4058.99,2672.74
pbpC,4861.74,4542.24,4825.72,4839.16,4302.11,4499.89,5483.24,5052.37,4335.28,3475.13,3445.25,3411.63,4539.68,4151.53,4423.63,4418.48,3448.95,3717.39,4829.5,4028.96
pbpG,3133.57,3241.635,2937.195,2321.905,2691.195,2753.42,2639.615,3470.06,2747.045,2727.435,2952.115,2632.495,3007.695,2681.345,2853.78,2328.295,3055.65,4129.285,3083.13,2657.505
pck,3508.13,5570.63,3548.57,4565.85,5141.45,5898.92,5152.28,4651.29,3740.77,8221.65,6767.3,5292.89,5270.16,6123.47,5648.25,6364.14,3917.81,4238.99,3623.32,4765.17
pcm,6767.54,5738.44,2922.13,6568.72,4220.99,4864.9,5496.63,6373.1,6441.02,4903.11,4511.23,3898.66,6312.62,7096.53,4818.56,3727.84,5011.38,5910.81,5491.32,5766.89
pcnB,4983.105,3632.715,5082.16,4769.335,3750.78,3618.635,3900.11,4608.305,4881.245,4543.21,3034.455,3698.14,4400.75,3920.14,4776.785,4638.265,6468.75,4445.91,3485,3421.975
pdhR,2481.26,1363.17,4545.545,2009.46,1326.16,890.035,1917.525,2277.185,2917.845,994.71,877.165,827.96,1166.2,1834.275,1080.215,982.015,2780.81,3616.18,2500.655,1082.635
